Year,Month,Country,Industry,Export_USD,Import_USD
2024,01,China,Electronics,3240000000,5800000000
2024,01,Mexico,Auto,2550000000,4870000000
2024,01,Germany,Equipment,1790000000,3550000000
2024,02,China,Electronics,3210000000,5750000000
2024,02,Mexico,Auto,2590000000,4700000000
2024,02,Germany,Equipment,1820000000,3530000000
2024,03,China,Electronics,3180000000,5650000000
2024,03,Mexico,Auto,2610000000,4800000000
2024,03,Germany,Equipment,1760000000,3450000000
2025,01,China,Electronics,2870000000,3690000000
2025,01,Mexico,Auto,2670000000,4610000000
2025,01,Germany,Equipment,1880000000,3810000000
2025,02,China,Electronics,2810000000,3520000000
2025,02,Mexico,Auto,2760000000,4540000000
2025,02,Germany,Equipment,1900000000,3760000000
2025,03,China,Electronics,2400000000,3380000000
2025,03,Mexico,Auto,2650000000,4480000000
2025,03,Germany,Equipment,1850000000,3700000000
