Year,Quarter,Country,GDP_Growth_%_YoY,Trade_Growth_%_YoY,Avg_Tariff_%
2020,Q1,United States,0.2,-2.2,2.59
2020,Q1,China,3.7,1.2,4.39
2020,Q1,Germany,-2.1,-4.9,2.12
2020,Q1,Brazil,-0.9,-5.6,6.75
2020,Q1,India,3.1,-7.4,7.1
2020,Q2,United States,-8.3,-15.2,2.59
2020,Q2,China,3.2,0.9,4.39
2020,Q2,Germany,-10.1,-22.3,2.12
2020,Q2,Brazil,-9.3,-18.1,6.75
2020,Q2,India,-23.6,-20.3,7.1
2021,Q1,United States,0.7,4.2,2.61
2021,Q1,China,18.3,31.5,4.41
2021,Q1,Germany,2.2,10.1,2.09
2021,Q1,Brazil,1.3,16.7,6.70
2021,Q1,India,2.3,10.9,7.0
2021,Q2,United States,12.5,19.3,2.61
2021,Q2,China,7.9,12.9,4.41
2021,Q2,Germany,9.8,15.8,2.09
2021,Q2,Brazil,11.8,20.2,6.70
2021,Q2,India,20.1,24.5,7.0
2022,Q1,United States,3.7,6.7,2.54
2022,Q1,China,4.8,8.7,4.38
2022,Q1,Germany,5.3,7.5,2.07
2022,Q1,Brazil,2.4,6.8,6.66
2022,Q1,India,5.4,12.8,6.8
2023,Q1,United States,1.7,2.5,2.44
2023,Q1,China,4.5,3.5,4.25
2023,Q1,Germany,0.6,1.8,2.05
2023,Q1,Brazil,2.9,1.9,6.61
2023,Q1,India,5.3,5.1,6.7
2024,Q1,United States,2.3,2.0,2.44
2024,Q1,China,3.6,1.9,4.21
2024,Q1,Germany,1.1,2.4,2.04
2024,Q1,Brazil,2.1,2.8,6.59
2024,Q1,India,5.5,4.3,6.5
