Year,Month,Customs_Duties_Million_USD,YoY_Change,Notes
2020,01,3900,-2%,COVID impact low trade activity
2020,02,4100,-1%,Steady baseline
...
2020,12,4800,-1%,Trade war partial tariffs remain
2021,01,4200,8%,Recovery post COVID
2021,06,5100,12%,Increased imports rebound
2021,12,5300,11%,Growth in imports continues
2022,01,5200,6%,Stable recovery
2022,06,5400,3%,Tariff policy stable
2022,12,5550,5%,Supply chain normalizing
2023,01,5380,3%,Slight increase
2023,06,5630,5%,Global trade stable
2023,12,5500,3%,High value imports, partial tariff normalization
2024,01,5600,4%,Higher baseline due to policy
2024,06,5780,3%,Mixed effect, inflation
2024,12,5950,5%,Pre-2025 tariff increase anticipation
